No,Kode Outdoor,No. Seri Outdoor,Kode Indoor,No. Seri Indoor,Jenis,Merk,Unit,PK,BTU_h,Daya Outdoor,Daya Indoor,Tahun,Gedung,Lokasi,Logo SKEM,Barcode BMN (NUP),Keterangan
1,CU-PN18RKP,69319110975,CS-PN18RKP,37007107841,Split,Panasonic,1,,,,,2016,Gedung C Lt.1,Ruang Sidang DWP,Tidak ada,,
2,AU-X6BEY,9804125G001550,AH-X6BEY,9804025I001306,Split,Sharp,1,,,,,2025,Gedung C Lt.1,Ruang Pimpinan DWP,Ada,,
3,CU-PN18RKP,69319110322,CS-PN18RKP,37007109783,Split,Panasonic,1,,,,,2016,Gedung C Lt.1,Ruang Tim Rumah Tangga,Tidak ada,,
4,RP15AV149,K044584,FTP15AV149,K061327,Split,Daikin,1,"0,5",5.000,390,,2026,Gedung C Lt.1,Ruang Katim Rumah Tangga,Ada,,Unit baru dipasang Maret 2026
5,RP15AV149,K038778,FTP15AV149,K037130,Split,Daikin,1,"0,5",5.000,390,,2024,Gedung C Lt.1,Ruang ULP,Ada,,Unit baru dipasang Maret 2026
6,CU-PC18GKF,7801640387,CS-C18EKF,2006003700,Split,Panasonic,1,"2,0",18.000,1900,,2000,Gedung C Lt.1,Ruang Tim SPK,,,
7,RC15YV14,D002125,FTC15YV14,D001402,Split,Daikin,1,"0,5",5.000,390,,2026,Gedung C Lt.1,Ruang Katim SPK,,,Unit baru dipasang Maret 2026
8,RC15YV14,D019085,FTC15YV14,D000356,Split,Daikin,1,"0,5",5.000,390,,2025,Gedung C Lt.1,Ruang Katim Pubkom,Ada,,Unit baru dipasang Maret 2026
9,CU-S13MKH,,CS-S13MKH,3050204004239,Split,Panasonic,1,"0,8",7.000,530,,,Gedung C Lt.1,Ruang Tim Pubkom 1,Tidak ada,,
10,CU-C95KH-7,7286000938,CS-C9EKH-7,7176948018,Split,Panasonic,1,"1,5",13.000,1010,,2006,Gedung C Lt.1,Ruang Tim Pubkom 2,Tidak ada,,
11,RC15YV14,D006448,FTC15YV14,D003800,Split,Daikin,1,"0,5",5.000,390,,2026,Gedung C Lt.1,Ruang Katim Kerjasama,,,Unit baru dipasang Maret 2026
12,RC50YV14,D060819,FTC15YV14,D073566,Split,Daikin,1,"2,0",18.000,1610,,2026,Gedung C Lt.1,Ruang Tim Kerjasama,,,Unit baru dipasang Maret 2026
13,AU-A5BEY,9802925A003761,AH-A5BEY,9802824J026695,Split,Sharp,1,"0,5",5.000,360,,2023,Gedung C Lt.1,Klinik (R. Farmasi),Ada,,
14,RKQ35UVM4,E000440/2020.6,FTKC35QVM4,E000803,Split,Daikin,1,"1,5",11.900,1220,,2020,Gedung C Lt.1,Klinik (R. Poli Umum),,,
15,RKD25DAVM,E034722,FTKD25DVM4,E001909,Split,Daikin,1,"1,0",9.000,,,2010,Gedung C Lt.1,Klinik (R. Poli Umum),,,
16,AU-A5BEY,9802924K026510,AH-A5BEY,9802824J026932,Split,Sharp,1,"0,5",5.000,360,,,Gedung C Lt.1,Klinik (Poli Gigi - R. Tindakan),Ada,,
17,CU-PN18RKP,69319107048,CS-PN18RKP,37007110961,Split,Panasonic,1,,,,,2016,Gedung C Lt.1,Klinik (Poli Gigi - R. Staff),Tidak ada,,
18,CU-PN12WKJ,13362447187,CS-PN12RKJ,13462243205,Split,Panasonic,1,"1,5",12.000,1250,,2016,Gedung C Lt.1,Klinik (Dapur),Tidak ada,,
19,CU-C12CKN5,7206951873,CS-PC12DKH,100003389,Split,Panasonic,1,"1,5",12.000,,,2007,Gedung C Lt.1,Ruang Pantry Rumah Tangga,Tidak ada,,
20,CU-C28FFH,7290402338,CS-C28FFH,7701101709,Standing,Panasonic,1,"3,0",25.000,,,2007,Gedung C Lt.1,Koridor Pubkom,Tidak ada,,
